id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
695,Jackson,Tchatchoua,Tchatchoua,a,,,4.5,500,139,0.0,691,231,0.0,491,197,0,0,0,0,0,79,11,0.0,0.0,1.9,1.4,0.0,491,197,0.0,0.0,474,202,480,202,437,186,491,203,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
307,Coby,Ebere,Ebere,a,,,4.5,491,263,0.0,587,234,0.0,460,161,0,0,0,0,0,190,202,0.0,0.0,1.0,1.5,0.0,460,161,0.0,0.0,447,149,451,158,412,134,462,157,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,David,Raya Martín,Raya,a,,,5.5,131,4,18.2,26,4,10.0,9,1,10,0,0,0,0,97946,25351,1.8,1.8,5.0,4.5,10.0,9,1,0.0,0.0,7,1,615,81,599,81,54,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.59,7.0,1.0,0.0,1.0,0.0,1,10,90,0,0,1,0,0,0,0,1,0,7,1,3,38,97946,25351,1,0.0,0.0,0.0,1.59,49.8,0.0,0.0,5.0,0,1,13,0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.5,378,22,0.9,189,24,0.0,381,67,0,0,0,0,0,1400,5686,0.0,0.0,3.3,2.8,0.0,381,67,0.0,0.0,372,68,370,53,319,52,388,68,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,5686,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,Karl,Hein,Hein,a,,,4.0,626,64,0.6,230,32,0.0,309,45,0,0,0,0,0,1966,2244,0.0,0.0,2.0,1.5,0.0,309,45,0.0,0.0,301,46,297,30,240,29,317,46,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966,2244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4,Tommy,Setford,Setford,a,,,4.0,670,78,0.2,428,63,0.0,347,59,0,0,0,0,0,483,689,0.0,0.0,2.0,1.5,0.0,347,59,0.0,0.0,338,60,335,44,280,43,354,60,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5,Gabriel,dos Santos Magalhães,Gabriel,a,,,6.0,99,5,18.9,25,10,6.0,56,29,6,0,0,0,0,97304,34962,1.0,1.0,5.0,4.5,6.0,56,29,0.0,0.0,68,22,224,84,126,34,133,46,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.59,0.0,1.0,0.0,1.0,6.0,1,6,90,0,0,1,0,0,0,0,0,0,0,1,0,22,97304,34962,0,0.0,0.0,0.0,1.59,20.6,0.3,4.0,2.5,1,6,1,6
6,William,Saliba,Saliba,a,,,6.0,105,7,15.1,30,11,9.0,22,10,9,0,0,0,0,88127,26938,1.5,1.5,5.0,4.5,9.0,22,10,0.0,0.0,27,7,238,90,666,228,98,29,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.59,0.0,1.0,0.0,1.0,14.0,1,9,90,0,0,1,0,0,0,0,0,0,0,1,1,25,88127,26938,0,0.0,0.0,0.0,1.59,31.6,0.1,0.0,3.2,4,10,3,14
7,Riccardo,Calafiori,Calafiori,a,,,5.5,183,25,1.8,138,49,13.0,3,2,13,0,0,0,0,66368,6591,2.4,2.4,4.3,3.8,13.0,3,2,0.0,0.0,17,4,150,46,12,2,23,4,0.0,0.0,0.0,,,,,0.77,0.01,0.78,1.08,0.0,1.27,0.0,1.27,6.34,1,13,71,1,0,1,0,0,0,0,1,0,0,1,2,34,66368,6591,1,0.61,0.01,0.62,0.85,37.0,2.0,35.0,7.4,1,3,5,5
8,Jurriën,Timber,J.Timber,a,,,5.5,179,23,2.2,116,42,0.0,641,222,0,0,0,0,0,7847,16360,0.0,0.0,4.3,3.8,0.0,641,222,0.0,0.0,210,84,221,83,632,220,251,89,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.51,0.0,0.0,0.0,0.0,14.21,1,0,19,0,0,0,0,0,0,0,1,0,0,0,0,-3,7847,16360,0,0.0,0.0,0.0,0.74,3.0,0.3,0.0,0.3,2,1,1,3
