id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
14,a,,,3.9,736,240,0,0,-1,1,0.2,355,127,0,0,0.0,429,159,0,0,0.0,407,151,0.0,0.0,0,10002,2602,10094,818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423,162,0.0,401,157,0.0,361,138,0.0,425,162,,,,6,,Maldini,Kacurri,Kacurri,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
15,a,,,3.9,728,233,0,0,-1,1,0.2,385,141,0,0,0.0,421,152,0,0,0.0,399,144,0.0,0.0,0,4538,770,8872,475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,155,0.0,393,150,0.0,353,131,0.0,417,155,,,,6,,Josh,Nichols,Nichols,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
16,a,100.0,50.0,9.8,5,3,0,0,-2,2,3.7,93,29,10,1,3.3,134,55,0,41,1.8,211,98,0.2,1.0,0,252142,37998,1633707,12775,1.8,0.9,0.3,0.33,0.63,2.03,0.14,0.16,0.3,0.98,58.0,143,53,79.1,50,38,35.0,127,79,17.2,90,50,1.0,4.0,1.0,6,,Bukayo,Saka,Saka,,2025-08-23T22:30:05.759392+00:00,187,1,0,1,0,0,0,0,0,0,0,2,12,,,,0.0,0.48,0.0,0.96,5.78
17,d,50.0,50.0,7.9,17,12,0,0,-1,1,2.0,129,45,8,0,2.0,256,121,0,27,0.8,301,153,0.1,1.0,0,102415,198,307947,12663,0.4,0.4,0.14,0.35,0.49,1.94,0.08,0.19,0.27,1.06,20.8,286,131,32.1,149,100,22.0,181,106,7.5,241,118,3.0,2.0,3.0,6,,Martin,Ødegaard,Ødegaard,Shoulder injury - 50% chance of playing,2025-09-13T21:30:07.910212+00:00,164,0,0,1,1,0,0,0,0,0,0,3,17,,,,0.0,0.55,0.55,1.65,9.33
18,d,75.0,,7.0,39,24,0,0,0,0,1.7,141,49,10,1,2.0,255,120,0,39,2.2,180,81,0.3,1.4,0,147963,9041,96572,16385,1.7,2.2,0.29,0.86,1.15,2.04,0.09,0.25,0.34,0.6,30.2,246,113,111.7,21,18,105.0,18,8,24.6,41,26,,,,6,,Noni,Madueke,Madueke,Knock - 75% chance of playing,2025-09-21T22:30:05.839272+00:00,304,0,0,2,2,0,0,0,0,0,0,4,14,,,,0.0,0.59,0.59,1.18,4.14
19,a,,,6.9,44,28,0,0,-1,1,1.0,184,61,12,7,3.0,170,71,1,43,2.8,139,57,0.4,1.7,0,29774,6606,84190,2499,2.8,2.8,0.18,0.01,0.19,1.33,0.11,0.01,0.12,0.8,42.6,193,80,15.3,242,144,44.0,93,58,10.2,186,97,,,,6,,Gabriel,Martinelli Silva,Martinelli,,,150,1,0,1,0,0,0,0,0,0,0,2,8,,,,0.0,0.6,0.0,1.2,4.8
20,a,100.0,100.0,6.9,42,26,0,0,-1,1,0.3,322,109,7,2,2.3,211,95,0,29,1.8,209,97,0.3,1.0,0,5569,832,20350,697,1.8,1.8,0.21,0.36,0.57,0.99,0.14,0.25,0.39,0.68,30.2,245,112,36.3,133,89,25.0,170,98,9.2,201,102,,,4.0,6,,Leandro,Trossard,Trossard,,2025-08-29T18:30:07.88549+00:00,131,0,1,0,1,0,0,0,0,0,0,1,4,,,,0.0,0.0,0.69,0.69,2.75
21,a,,,6.5,53,36,0,0,0,0,8.4,51,15,20,3,4.0,95,35,1,76,3.5,93,34,0.5,3.1,0,366963,11808,385775,32475,3.5,3.5,0.15,0.84,0.99,2.72,0.04,0.2,0.24,0.65,63.2,130,44,112.3,20,17,15.0,222,126,19.1,73,43,2.0,1.0,,6,,Declan,Rice,Rice,,,374,0,2,2,2,0,0,0,0,0,0,4,32,,,,0.0,0.48,0.48,0.96,7.7
22,a,,,5.9,102,69,0,0,-1,1,0.5,235,83,8,1,2.0,252,117,0,29,1.8,207,95,0.3,1.4,0,37422,3647,55271,3600,1.8,1.8,0.13,0.12,0.25,1.52,0.06,0.05,0.11,0.65,28.4,255,115,39.9,122,82,33.0,134,83,10.2,185,96,,,,6,,Mikel,Merino Zazón,Merino,,,211,0,0,2,1,0,0,0,0,0,0,3,23,,,,0.0,0.85,0.43,1.28,9.81
23,u,0.0,0.0,5.4,193,121,0,0,-1,1,0.0,635,265,0,0,0.0,713,310,0,0,0.0,706,306,0.0,0.0,0,933,0,3696,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710,308,0.0,711,310,0.0,701,308,0.0,711,309,,,,6,,Fábio,Ferreira Vieira,Fábio Vieira,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
24,a,100.0,100.0,5.4,175,108,0,0,-1,1,0.2,383,129,0,0,0.0,709,307,0,0,0.0,701,303,0.0,0.0,0,2072,178,48278,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706,305,0.0,707,307,0.0,696,304,0.0,707,306,,,,6,,Christian,Nørgaard,Nørgaard,,2025-08-18T08:00:05.297235+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
25,a,,,5.3,229,143,0,0,-2,2,0.2,377,127,5,1,1.7,271,132,0,14,1.2,256,126,0.2,0.9,0,6859,490,20519,873,1.2,1.2,0.17,0.04,0.21,0.2,0.12,0.03,0.15,0.14,8.2,341,163,20.9,205,129,20.0,195,114,4.9,298,151,4.0,3.0,,6,,Ethan,Nwaneri,Nwaneri,,,130,0,0,1,0,0,0,0,0,0,0,0,9,,,,0.0,0.69,0.0,0.0,6.23
26,a,,,5.4,199,125,0,0,-1,1,3.9,86,26,27,2,5.4,37,12,3,96,5.5,29,11,1.0,5.0,1,350003,44946,167455,18760,5.5,5.5,0.26,0.12,0.38,3.3,0.05,0.02,0.07,0.66,101.0,60,20,44.9,106,74,45.0,88,55,19.1,72,42,,,,6,,Martín,Zubimendi Ibáñez,Zubimendi,,,450,2,0,3,2,0,0,0,1,0,0,5,34,,,,0.0,0.6,0.4,1.0,6.8
28,u,0.0,0.0,4.5,491,288,0,0,0,0,0.2,387,131,0,0,0.0,640,263,0,0,0.0,627,254,0.0,0.0,0,6731,0,21691,903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633,256,0.0,627,258,0.0,601,248,0.0,634,257,,,,6,,Ismeal,Kabia,Kabia,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
29,u,0.0,0.0,4.5,427,248,0,0,0,0,0.1,502,173,0,0,0.0,593,226,0,0,0.0,580,217,0.0,0.0,0,2952,0,10389,387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587,219,0.0,578,221,0.0,552,211,0.0,589,220,,,,6,,Albert,Sambi Lokonga,Sambi,has joined Hamburger permanently.,2025-09-02T13:40:53.094922+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
30,i,0.0,0.0,7.3,28,11,0,0,-2,2,0.4,275,46,1,0,1.0,395,45,0,4,0.0,737,81,0.0,0.1,0,8410,50,102615,965,0.0,0.0,0.0,0.01,0.01,0.82,0.0,0.03,0.03,2.46,2.8,378,35,0.8,359,39,2.0,338,42,0.6,389,41,,,,6,,Kai,Havertz,Havertz,Knee injury - Unknown return date,2025-08-20T13:00:06.498911+00:00,30,0,0,0,0,0,0,0,0,0,0,0,3,,,,0.0,0.0,0.0,0.0,9.0
