id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
1,David,Raya Martín,Raya,a,,,5.9,93,1.0,32.1,8,2.0,2.2,154.0,12.0,0,0,0.0,4,-4.0,8166,2375,0.4,9.3,3.2,3.2,4.6,45.0,3.0,,,137.0,17.0,354.0,3.0,742.0,87.0,264.0,16.0,,,,,,,,0.0,0.0,0.0,0.52,1.42,0.58,0.5,1.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17489,23676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.2,607,38.0,0.4,252,34.0,0.0,490.0,71.0,0,0,0.0,-3,3.0,16,73,0.0,0.0,1.0,1.0,0.0,562.0,77.0,,,558.0,77.0,546.0,65.0,514.0,51.0,558.0,77.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,Karl,Hein,Hein,u,Has joined Werder Bremen on loan for the rest of the season.,,4.0,649,57.0,0.3,328,47.0,0.0,453.0,61.0,0,0,0.0,0,0.0,0,40,0.0,0.0,0.0,0.0,0.0,530.0,67.0,0.0,0.0,525.0,67.0,513.0,55.0,480.0,41.0,525.0,67.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4,Tommy,Setford,Setford,a,,,3.9,734,86.0,0.2,361,54.0,0.0,416.0,42.0,0,-1,1.0,-1,1.0,25,53,0.0,0.0,1.0,1.0,0.0,495.0,49.0,,,490.0,49.0,476.0,35.0,443.0,21.0,490.0,49.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
6,William,Saliba,Saliba,a,,,6.0,88,5.0,12.9,33,11.0,2.2,156.0,50.0,0,0,0.0,0,0.0,5505,1338,0.4,6.8,3.2,3.2,3.7,102.0,37.0,100.0,100.0,119.0,52.0,263.0,80.0,307.0,97.0,220.0,74.0,,,,,,,,0.03,0.03,0.06,0.52,0.0,0.55,0.44,1.11,6.86,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18349,8452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
23,Fábio,Ferreira Vieira,Fábio Vieira,u,has joined Hamburger on loan for the rest of the season.,,5.4,169,106.0,0.0,655,271.0,0.0,715.0,311.0,0,0,0.0,-1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,733.0,321.0,0.0,0.0,733.0,321.0,732.0,321.0,728.0,320.0,733.0,321.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
24,Christian,Nørgaard,Nørgaard,a,,,5.2,213,133.0,0.1,413,139.0,0.2,352.0,173.0,0,0,0.0,-3,3.0,11,26,0.0,0.4,1.2,1.2,1.0,421.0,200.0,100.0,100.0,413.0,191.0,425.0,206.0,348.0,181.0,420.0,197.0,,,,,,,,0.32,0.0,0.32,0.32,0.0,0.0,0.0,0.0,25.71,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
33,Marco,Bizot,M.Bizot,a,,,4.3,556,29.0,0.5,245,33.0,0.0,495.0,73.0,0,0,0.0,-2,2.0,11,112,0.0,1.6,0.0,0.0,3.5,110.0,12.0,,,361.0,27.0,549.0,67.0,520.0,53.0,403.0,27.0,,,,,,,,0.0,0.0,0.0,2.05,2.0,0.5,1.5,1.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
34,Joe,Gauci,Gauci,u,Has joined Port Vale on loan for the rest of the season.,,4.0,648,56.0,0.1,437,68.0,0.0,452.0,60.0,0,0,0.0,0,0.0,0,14,0.0,0.0,0.0,0.0,0.0,529.0,66.0,0.0,0.0,524.0,66.0,512.0,54.0,479.0,40.0,524.0,66.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
39,Ian,Maatsen,Maatsen,a,,,4.2,611,155.0,0.4,253,93.0,0.5,287.0,95.0,0,0,0.0,-3,3.0,63,90,0.1,1.7,0.5,0.5,0.9,437.0,145.0,,,289.0,109.0,162.0,37.0,265.0,79.0,275.0,93.0,,,,,,,,0.11,0.09,0.2,1.72,0.0,0.0,1.68,0.42,9.25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
