id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
298,a,,,3.9,721,225,0,0,-1,1,0.1,401,149,0,0,0.0,432,155,0,0,0.0,390,141,0.0,0.0,0,3821,32,7822,93,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430,157,0.0,408,153,0.0,374,143,0.0,430,156,,,,7,,Reece,Welch,Welch,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
571,a,100.0,100.0,4.3,598,151,0,0,-2,2,0.1,499,182,0,0,0.0,534,211,0,0,0.0,496,201,0.0,0.0,0,2069,72,6827,59,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532,213,0.0,516,212,0.0,483,203,0.0,533,213,,,,7,,Ben,Davies,Davies,,2025-09-24T06:00:06.226008+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
572,i,0.0,0.0,4.5,440,95,0,0,0,0,0.0,720,242,0,0,0.0,619,230,0,0,0.0,590,226,0.0,0.0,0,267,4,413,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,231,0.0,609,231,0.0,586,228,0.0,617,231,,,,7,,Radu,Drăgușin,Dragusin,Knee injury - Unknown return date,2025-07-21T10:00:05.088977+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
573,a,,,4.5,413,85,0,0,0,0,2.2,128,48,21,0,3.5,107,42,0,75,2.0,155,59,0.4,4.7,0,235755,694,142895,5794,2.0,2.5,0.18,0.17,0.35,5.68,0.04,0.04,0.08,1.27,50.2,216,86,48.5,131,27,26.0,193,48,12.4,203,68,,,,7,,Djed,Spence,Spence,,,403,0,0,3,2,0,0,0,2,0,0,5,16,,,,0.0,0.67,0.45,1.12,3.57
637,d,75.0,75.0,4.4,565,146,0,0,-1,1,0.1,445,169,5,0,0.8,407,133,0,15,1.0,244,89,0.2,1.1,0,3224,4,9816,234,1.1,0.8,0.04,0.03,0.07,7.21,0.01,0.01,0.02,1.66,74.6,151,65,26.5,212,61,27.0,190,46,12.8,199,67,,,,7,,Toti,Gomes,Toti,Illness - 75% chance of playing,2025-10-03T14:00:09.220271+00:00,390,0,0,0,13,0,0,0,0,1,0,5,27,,,,0.0,0.0,3.0,1.15,6.23
218,a,,,4.4,499,68,0,0,-1,1,1.5,151,23,0,0,0.0,538,49,0,0,0.0,502,44,0.0,0.0,0,70015,839,172054,1793,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536,49,0.0,521,47,0.0,490,47,0.0,537,49,,,1.0,7,,Ashley,Barnes,Barnes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
422,a,100.0,100.0,5.9,95,63,0,0,-1,1,0.0,665,281,0,0,0.0,729,322,0,0,0.0,723,319,0.0,0.0,0,865,120,954,39,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729,322,0.0,729,322,0.0,729,322,0.0,729,322,,,,7,,Mateo,Kovačić,Kovačić,,2025-07-21T10:00:04.940328+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
408,a,,,5.5,141,16,0,0,0,0,4.3,86,33,18,0,3.0,154,60,0,73,2.5,128,48,0.5,3.3,0,231052,2708,203139,2937,3.0,3.0,0.0,0.13,0.13,5.66,0.0,0.03,0.03,1.12,84.8,133,57,9.5,316,106,2.0,356,128,9.7,250,87,,,,7,,Rúben,dos Santos Gato Alves Dias,Rúben,,,455,0,0,2,5,0,0,0,0,0,0,5,31,,,,0.0,0.4,0.99,0.99,6.13
178,a,,,6.3,70,22,0,0,-2,2,2.4,120,18,17,0,2.8,180,19,3,59,3.5,69,8,0.6,2.7,1,155431,7126,380942,2539,3.0,3.5,2.44,0.35,2.79,5.19,0.8,0.11,0.91,1.7,70.8,158,14,24.5,225,18,102.0,44,17,19.5,125,18,,1.0,1.0,7,,Danny,Welbeck,Welbeck,,,275,2,0,0,7,0,0,1,1,0,0,3,10,,,,0.0,0.0,2.29,0.98,3.27
281,a,,,4.5,450,266,0,0,0,0,0.0,588,228,0,0,0.0,626,253,0,0,0.0,597,234,0.0,0.0,0,1929,57,2862,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622,249,0.0,615,250,0.0,592,239,0.0,623,250,,,,7,,Kaden,Rodney,Rodney,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
283,a,,,7.5,22,8,0,0,0,0,10.1,40,8,18,0,3.0,160,16,0,70,2.5,136,16,0.3,2.4,0,1155293,17993,1031580,9832,2.5,2.5,3.59,0.44,4.03,6.55,0.61,0.07,0.68,1.11,110.2,85,8,25.4,221,16,189.0,7,5,32.5,35,9,,,2.0,7,,Jean-Philippe,Mateta,Mateta,,,531,2,0,3,3,0,0,0,2,0,0,6,34,,,,0.0,0.51,0.51,1.02,5.76
68,a,,,4.0,648,62,0,0,0,0,1.1,178,25,0,0,0.0,484,53,0,0,0.0,444,50,0.0,0.0,0,35622,268,37794,619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482,53,0.0,464,38,0.0,429,27,0.0,482,53,,,,7,,Will,Dennis,Dennis,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
76,a,,,3.9,728,231,0,0,-1,1,0.2,392,145,0,0,0.0,439,161,0,0,0.0,397,147,0.0,0.0,0,4232,220,8651,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437,163,0.0,415,159,0.0,381,149,0.0,437,162,,,,7,,Owen,Bevan,Bevan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
167,a,,,4.8,380,237,0,0,-2,2,2.4,118,41,8,0,1.3,317,151,0,27,0.8,279,134,0.2,1.7,0,90411,1236,332300,3275,0.3,0.8,0.05,0.02,0.07,5.63,0.01,0.01,0.02,1.65,13.0,353,165,28.9,197,127,4.0,328,171,4.6,329,162,,,,7,,Carlos,Baleba,Baleba,,,307,0,0,1,4,0,0,0,1,0,0,5,38,,,,0.0,0.29,1.17,1.47,11.14
355,u,0.0,0.0,4.9,334,207,0,0,-1,1,0.0,589,229,0,0,0.0,678,287,0,0,0.0,658,275,0.0,0.0,0,1234,0,8988,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678,287,0.0,673,288,0.0,656,281,0.0,679,288,,,,7,,Sam,Greenwood,Greenwood,has joined Pogon Szczecin permanently.,2025-09-02T12:00:32.393623+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
537,u,0.0,0.0,4.0,671,185,0,0,0,0,0.1,471,174,0,0,0.0,503,190,0,0,0.0,463,178,0.0,0.0,0,1038,0,12470,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,191,0.0,483,190,0.0,449,180,0.0,501,191,,,,7,,Niall,Huggins,Huggins,has joined Wycombe Wanderers on loan for the rest of the season.,2025-09-02T13:34:00.250364+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
