id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
1,a,,,5.7,120,1,0,0,2,-2,28.9,9,2,40,0,5.0,33,4,0,0,3.5,59,4,0.6,7.0,1,1804167,8250,788450,2337,4.5,4.0,0.0,0.04,0.04,4.84,0.0,0.0,0.0,0.6,0.0,86,12,0.0,331,8,0.0,729,85,0.0,218,12,,,,9,,David,Raya Martín,Raya,,,720,0,0,5,3,0,0,0,1,0,15,8,0,,,,1.88,0.62,0.38,1.0,0.0,0.0,0.0,0.0
2,a,,,4.3,588,35,0,0,-2,2,0.5,240,34,0,0,0.0,547,76,0,0,0.0,500,71,0.0,0.0,0,7073,15,54961,171,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541,76,0.0,528,63,0.0,496,51,0.0,544,76,,,,9,,Kepa,Arrizabalaga Revuelta,Arrizabalaga,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,u,0.0,0.0,4.0,655,66,0,0,0,0,0.3,309,44,0,0,0.0,510,60,0,0,0.0,459,55,0.0,0.0,0,5545,0,36923,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502,60,0.0,487,46,0.0,454,34,0.0,505,60,,,,9,,Karl,Hein,Hein,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,a,,,4.0,682,77,0,0,0,0,0.2,348,53,0,0,0.0,530,71,0,0,0.0,481,66,0.0,0.0,0,14882,32,14026,69,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522,71,0.0,507,57,0.0,475,45,0.0,525,71,,,,9,,Tommy,Setford,Setford,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,d,75.0,75.0,6.4,65,1,0,0,4,-4,35.0,4,1,59,0,7.4,3,1,0,0,8.5,2,1,1.3,9.2,2,2736766,10784,846547,18611,7.1,6.8,0.72,0.11,0.83,4.84,0.09,0.01,0.1,0.6,0.0,8,4,0.0,252,80,0.0,95,16,0.0,68,16,,,,9,,Gabriel,dos Santos Magalhães,Gabriel,Muscle injury - 75% chance of playing,2025-10-24T14:00:07.880778+00:00,720,1,1,5,3,0,0,0,0,0,0,8,75,,,,0.0,0.62,0.38,1.0,9.38,0.0,0.0,0.0
7,a,,,5.8,115,10,0,0,3,-3,15.2,26,9,48,0,6.0,13,8,0,0,3.2,71,28,0.6,8.3,2,1881763,8158,562613,2036,4.2,3.7,1.88,0.17,2.05,3.88,0.28,0.02,0.3,0.57,0.0,118,56,0.0,109,24,0.0,42,3,0.0,71,18,,,,9,,Riccardo,Calafiori,Calafiori,,,614,1,2,5,3,0,0,0,3,0,0,8,34,,,,0.0,0.73,0.44,1.17,4.98,0.0,0.0,0.0
8,a,,,6.0,86,4,0,0,5,-5,22.3,16,7,54,0,6.8,4,2,0,0,4.8,25,9,0.8,9.0,2,2595837,22128,485616,1500,5.8,5.3,1.89,0.56,2.45,3.74,0.28,0.08,0.36,0.55,0.0,20,8,0.0,37,6,0.0,14,1,0.0,11,1,,,,9,,Jurriën,Timber,J.Timber,,,611,2,2,4,3,0,0,0,2,0,0,7,49,,,,0.0,0.59,0.44,1.03,7.22,0.0,0.0,0.0
9,u,0.0,0.0,5.4,181,23,0,0,-1,1,0.1,561,203,0,0,0.0,723,245,0,0,0.0,708,242,0.0,0.0,0,1119,0,10259,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721,245,0.0,720,245,0.0,717,244,0.0,723,245,,,,9,,Jakub,Kiwior,Kiwior,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,a,,,5.2,228,32,0,0,-3,3,1.7,142,55,4,0,0.8,423,141,0,0,0.5,311,108,0.1,0.8,0,46343,540,335724,618,1.5,1.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1.01,0.0,387,145,0.0,341,115,0.0,345,124,0.0,393,141,,,,9,,Myles,Lewis-Skelly,Lewis-Skelly,,,83,0,0,0,0,0,0,0,1,0,0,0,4,,,,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0
41,a,,,4.3,595,150,0,0,-2,2,0.3,298,108,10,0,2.0,260,93,0,0,1.8,157,55,0.4,2.3,0,13891,109,34641,103,0.8,1.3,0.1,0.16,0.26,3.92,0.03,0.04,0.07,1.03,0.0,192,75,0.0,333,114,0.0,285,92,0.0,283,95,,,,9,,Pau,Torres,Pau,,,344,0,0,0,4,0,0,0,0,0,0,3,28,,,,0.0,0.0,1.05,0.78,7.33,0.0,0.0,0.0
