id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
1,David,Raya Martín,Raya,a,,,5.8,106,1,31.8,8,2,6.0,24,1,6,0,0,3,-3,136087,18864,1.0,9.0,7.0,7.0,5.2,23,2,,,98,13,340,3,734,86,235,13,,,,,,,,0.0,0.0,0.0,0.57,1.6,0.7,0.3,1.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122020.0,16942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.2,609,38,0.5,241,34,0.0,492,68,0,0,0,-3,3,282,1551,0.0,0.0,1.0,1.0,0.0,556,75,,,548,75,534,62,502,49,549,75,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Karl,Hein,Hein,u,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864+00:00,4.0,653,63,0.3,318,46,0.0,453,54,0,0,0,0,0,0,1012,0.0,0.0,0.0,0.0,0.0,521,61,0.0,0.0,512,61,498,48,465,35,513,61,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Tommy,Setford,Setford,a,,,4.0,678,73,0.2,357,54,0.0,474,64,0,0,0,0,0,217,895,0.0,0.0,1.0,1.0,0.0,539,71,,,530,71,516,58,484,45,531,71,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gabriel,dos Santos Magalhães,Gabriel,a,,2025-10-24T14:00:07.880778+00:00,6.6,51,1,42.1,4,1,11.0,1,1,12,1,-1,6,-6,319240,4400,1.7,12.1,12.0,12.0,8.0,2,1,100.0,100.0,7,4,204,54,101,14,56,10,,,,,,,,0.08,0.07,0.15,0.57,0.0,0.7,0.3,1.0,9.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270238.0,4048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0
6,William,Saliba,Saliba,a,,2025-10-28T21:00:08.018508+00:00,6.0,87,5,11.6,36,12,4.3,64,24,6,0,0,0,0,18991,24572,0.7,6.3,5.3,4.0,4.2,66,28,100.0,75.0,108,47,258,80,314,105,214,70,,,,,,,,0.02,0.03,0.05,0.6,0.0,0.71,0.14,1.14,7.24,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17415.0,19663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0
7,Riccardo,Calafiori,Calafiori,a,,,5.8,114,9,16.0,26,9,6.0,25,9,6,0,0,3,-3,47972,42163,1.0,10.3,7.0,7.0,6.0,11,6,,,126,56,126,28,48,4,88,25,,,,,,,,0.24,0.02,0.26,0.51,0.0,0.82,0.35,1.17,4.93,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42468.0,36149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
8,Jurriën,Timber,J.Timber,a,,,6.1,84,3,25.4,12,5,6.0,26,10,6,0,0,6,-6,99455,42444,1.0,10.8,7.0,7.0,6.6,4,2,,,41,15,42,8,19,1,18,1,,,,,,,,0.24,0.07,0.31,0.53,0.0,0.68,0.34,1.02,6.49,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87604.0,37087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
9,Jakub,Kiwior,Kiwior,u,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594+00:00,5.4,174,21,0.1,561,202,0.0,708,244,0,0,0,-1,1,0,71,0.0,0.0,0.0,0.0,0.0,727,247,0.0,0.0,727,247,726,247,721,245,727,247,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Myles,Lewis-Skelly,Lewis-Skelly,a,,,5.2,228,33,1.6,140,54,0.7,300,99,1,0,0,-3,3,1083,6548,0.1,1.2,1.7,1.7,0.9,431,144,,,386,143,355,120,360,128,398,139,,,,,,,,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,5.23,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959.0,5807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
