id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
186,i,0.0,0.0,4.4,492,105.0,0,0.0,-1,1.0,0.0,625,218.0,0,0,0.0,603.0,230.0,0,0,0.0,547.0,217.0,0.0,0.0,0.0,1043,2,8449,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,232.0,0.0,588.0,232.0,0.0,567.0,227.0,0.0,598.0,232.0,,,,16,,Connor,Roberts,Roberts,Achilles injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
131,a,,,4.3,600,338.0,0,0.0,-2,2.0,0.2,368,125.0,0,0,0.0,600.0,229.0,0,0,0.0,544.0,197.0,0.0,0.0,0.0,30067,80,30119,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,222.0,0.0,585.0,222.0,0.0,564.0,218.0,0.0,595.0,223.0,,,,16,,Yunus Emre,Konak,Konak,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
132,a,100.0,100.0,4.5,409,246.0,0,0.0,0,0.0,0.0,657,273.0,0,0,0.0,639.0,250.0,0,0,0.0,588.0,220.0,0.0,0.0,0.0,1696,24,2927,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,246.0,0.0,626.0,245.0,0.0,611.0,242.0,0.0,636.0,247.0,,,,16,,Paris,Maghoma,Maghoma,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
133,a,,,4.4,510,299.0,0,0.0,-1,1.0,0.0,603,234.0,0,0,0.0,610.0,231.0,0,0,0.0,556.0,199.0,0.0,0.0,0.0,3043,8,4755,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,225.0,0.0,595.0,225.0,0.0,575.0,221.0,0.0,605.0,226.0,,,,16,,Myles,Peart-Harris,Peart-Harris,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
134,u,0.0,0.0,4.5,469,285.0,0,0.0,0,0.0,0.0,733,320.0,0,0,0.0,683.0,285.0,0,0,0.0,634.0,257.0,0.0,0.0,0.0,0,0,900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,282.0,0.0,672.0,281.0,0.0,659.0,279.0,0.0,681.0,283.0,,,,16,,Ryan,Trevitt,Trevitt,Has joined Wigan on loan for the rest of the season,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
136,a,,,7.1,34,15.0,0,0.0,11,-11.0,38.6,4,2.0,80,0,5.3,15.0,2.0,12,306,4.0,57.0,4.0,0.6,11.3,0.0,5322595,22161,649078,6507,4.0,4.0,9.0,0.31,9.31,18.45,0.66,0.02,0.68,1.36,463.2,4.0,2.0,118.5,134.0,8.0,509.0,2.0,2.0,109.1,4.0,2.0,,,2.0,16,,Igor Thiago,Nascimento Rodrigues,Thiago,,,1221,11,0,2,22,0,0,1,3,0,0,14,78,,,,0.0,0.15,1.62,1.03,5.75,15,33,30
187,a,100.0,0.0,4.4,487,100.0,0,0.0,-1,1.0,1.2,176,69.0,34,0,2.3,242.0,87.0,3,98,1.0,261.0,89.0,0.2,7.7,0.0,112958,43,217531,801,1.0,0.0,0.12,0.52,0.64,31.4,0.01,0.03,0.04,2.09,241.4,112.0,49.0,73.6,205.0,55.0,16.0,319.0,105.0,33.2,199.0,67.0,,,,16,,Kyle,Walker,Walker,,,1350,0,1,2,30,0,0,0,5,0,0,15,163,,,,0.0,0.13,2.0,1.0,7.33,28,82,79
188,a,,,3.8,741,232.0,0,0.0,-2,2.0,0.3,318,115.0,0,0,0.0,461.0,162.0,0,0,0.0,386.0,138.0,0.0,0.0,0.0,20333,102,27390,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,166.0,0.0,439.0,164.0,0.0,405.0,150.0,0.0,454.0,164.0,,,,16,,Hannes,Delcroix,Delcroix,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
209,a,,,4.8,343,215.0,0,0.0,-2,2.0,0.0,630,254.0,17,0,1.3,372.0,170.0,0,86,0.4,329.0,151.0,0.1,3.5,0.0,1457,4,2945,3,0.4,0.4,0.16,0.18,0.34,15.85,0.02,0.03,0.05,2.37,81.8,282.0,123.0,41.9,273.0,159.0,32.0,281.0,150.0,15.6,309.0,148.0,,,,16,,Josh,Laurent,Laurent,,,603,0,0,0,18,0,0,0,2,0,0,6,57,,,,0.0,0.0,2.69,0.9,8.51,7,34,16
210,a,,,4.9,326,202.0,0,0.0,-1,1.0,0.0,611,239.0,28,0,2.2,261.0,114.0,0,95,1.2,245.0,114.0,0.2,5.7,0.0,3873,1,4525,11,1.2,1.2,0.45,0.29,0.74,11.82,0.06,0.04,0.1,1.69,77.4,293.0,131.0,55.3,240.0,147.0,72.0,185.0,109.0,20.5,277.0,135.0,,2.0,,16,,Loum,Tchaouna,Tchaouna,,,629,1,1,2,8,0,0,0,1,0,0,8,39,,,,0.0,0.29,1.14,1.14,5.58,13,10,16
