id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
13,a,,,3.9,735,236,0,0,-1,1,0.5,242,88,0,0,0.0,470,177,0,0,0.0,420,164,0.0,0.0,0,26869,415,45411,1251,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461,175,0.0,443,174,0.0,410,164,0.0,461,174,,,,10,,Brayden,Clarke,Clarke,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,a,,,4.0,646,60,0,0,0,0,1.0,178,25,0,0,0.0,506,55,0,0,0.0,456,48,0.0,0.0,0,38639,353,46121,1120,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497,55,0.0,481,41,0.0,449,29,0.0,497,55,,,,10,,Will,Dennis,Dennis,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,a,100.0,100.0,4.9,350,219,0,0,-1,1,0.0,705,305,0,0,0.0,700,300,0,0,0.0,676,286,0.0,0.0,0,271,24,877,18,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697,299,0.0,692,299,0.0,680,294,0.0,698,300,,,,10,,Gustavo,Nunes Fernandes Gomes,Nunes,,2025-08-09T14:00:04.884092+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,a,,,4.4,579,329,0,0,-1,1,0.2,360,123,0,0,0.0,613,238,0,0,0.0,575,215,0.0,0.0,0,21545,216,20715,640,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603,233,0.0,594,233,0.0,571,223,0.0,604,234,,,,10,,Yunus Emre,Konak,Konak,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,a,,,4.4,548,311,0,0,-1,1,0.0,589,228,0,0,0.0,589,222,0,0,0.0,549,198,0.0,0.0,0,2395,47,3555,96,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579,217,0.0,569,217,0.0,545,207,0.0,580,218,,,,10,,Coby,Ebere,Ebere,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,a,,,4.0,620,46,0,0,0,0,0.6,210,29,0,0,0.0,484,41,0,0,0.0,434,34,0.0,0.0,0,8274,75,26079,590,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475,41,0.0,459,27,0.0,427,15,0.0,475,41,,,,10,,Benjamin,Lecomte,Lecomte,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,a,,,3.9,704,81,0,0,-1,1,0.2,353,54,0,0,0.0,443,30,0,0,0.0,392,23,0.0,0.0,0,17269,569,7532,353,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434,30,0.0,416,14,0.0,380,2,0.0,434,30,,,,10,,Freddie,Woodman,Woodman,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,a,,,3.9,724,225,0,0,-1,1,0.3,326,116,0,0,0.0,460,167,0,0,0.0,409,153,0.0,0.0,0,15597,306,16252,490,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451,165,0.0,433,164,0.0,400,154,0.0,451,164,,,,10,,Zak,Johnson,Johnson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,a,,,4.4,575,140,0,0,-1,1,3.5,93,34,28,1,3.1,148,59,1,64,2.5,143,51,0.6,6.4,0,184168,985,552634,16687,2.0,3.0,0.22,0.77,0.99,13.58,0.03,0.09,0.12,1.6,169.2,73,33,125.3,62,14,43.0,183,44,33.8,82,23,,,,10,,El Hadji Malick,Diouf,Diouf,,,765,0,4,1,19,0,0,0,1,0,0,8,55,,,,0.0,0.12,2.24,0.94,6.47,0.0,0.0,0.0
618,a,,,4.8,360,225,0,0,-2,2,0.0,578,218,3,0,1.5,314,147,0,14,0.2,375,175,0.0,0.6,0,1322,39,3923,89,-0.3,0.7,0.03,0.03,0.06,0.97,0.03,0.03,0.06,0.98,3.4,410,193,2.5,374,189,2.0,362,186,0.8,415,194,,,,10,,Guido,Rodríguez,G.Rodriguez,,,89,0,0,0,2,0,0,0,0,0,0,1,5,,,,0.0,0.0,2.02,1.01,5.06,0.0,0.0,0.0
663,a,,,5.2,223,139,0,0,-3,3,0.2,345,118,18,2,2.0,272,126,1,84,2.3,155,73,0.4,3.5,0,11825,118,62145,884,2.3,2.8,1.17,0.34,1.51,6.68,0.21,0.06,0.27,1.2,79.8,206,87,151.8,46,36,80.0,92,55,31.1,101,56,1.0,,,10,,Jhon,Arias,J.Arias,,,500,0,0,1,9,0,0,0,0,0,0,6,57,,,,0.0,0.18,1.62,1.08,10.26,0.0,0.0,0.0
682,a,,,4.4,543,136,0,0,-1,1,0.1,533,192,8,1,1.6,301,106,0,15,0.7,297,103,0.2,1.8,0,2306,20,5672,105,0.7,1.2,0.0,0.15,0.15,3.62,0.0,0.09,0.09,2.19,37.0,307,117,20.9,283,94,4.0,348,122,6.3,333,111,,,,10,,David,Møller Wolfe,Møller Wolfe,,,149,0,1,0,6,0,0,0,0,0,0,2,8,,,,0.0,0.0,3.62,1.21,4.83,0.0,0.0,0.0
18,i,0.0,0.0,6.9,41,25,0,0,-1,1,0.6,214,69,10,0,2.0,279,132,0,39,0.0,739,328,0.0,1.4,0,148887,40,220693,1875,0.0,0.0,0.29,0.86,1.15,2.04,0.09,0.25,0.34,0.6,30.2,322,145,111.7,68,50,105.0,64,37,24.6,141,74,,,,10,,Noni,Madueke,Madueke,Knee injury - Unknown return date,2025-09-21T22:30:05.839272+00:00,304,0,0,2,2,0,0,0,0,0,0,4,14,,,,0.0,0.59,0.59,1.18,4.14,0.0,0.0,0.0
19,a,,,6.9,42,26,0,0,-1,1,1.2,165,59,16,1,2.0,280,133,1,56,1.0,280,137,0.1,2.3,0,90751,3341,132720,4287,2.0,1.5,0.75,0.08,0.83,1.97,0.32,0.03,0.35,0.83,51.0,266,118,30.6,241,146,93.0,80,46,17.5,212,109,,,,10,,Gabriel,Martinelli Silva,Martinelli,,,214,1,0,1,0,0,0,0,0,0,0,2,16,,,,0.0,0.42,0.0,0.84,6.73,0.0,0.0,0.0
566,a,,,3.9,707,82,0,0,-1,1,0.3,299,43,0,0,0.0,444,31,0,0,0.0,393,24,0.0,0.0,0,13170,1107,13139,463,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435,31,0.0,417,15,0.0,383,3,0.0,435,31,,,,10,,Brandon,Austin,Austin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,a,100.0,100.0,6.6,50,34,0,0,1,-1,13.2,32,13,50,7,5.6,19,6,7,191,7.5,8,4,1.1,7.6,1,1165773,113529,612471,14526,8.5,8.0,0.87,1.85,2.72,4.59,0.11,0.23,0.34,0.58,193.2,49,16,266.7,6,6,72.0,109,65,53.2,18,13,2.0,1.0,,10,,Declan,Rice,Rice,,2025-10-04T20:00:07.968078+00:00,713,1,4,5,3,0,0,0,0,0,0,8,63,,,,0.0,0.63,0.38,1.01,7.95,0.0,0.0,0.0
666,a,,,9.0,6,3,0,0,0,0,22.3,17,4,30,2,3.3,134,13,2,104,2.0,192,21,0.2,3.3,1,2303603,47361,2620169,92416,3.0,2.5,3.58,0.49,4.07,4.39,0.43,0.06,0.49,0.52,121.6,136,13,73.4,126,10,275.0,5,4,46.9,30,6,,,2.0,10,,Viktor,Gyökeres,Gyökeres,,,756,3,0,5,3,0,0,0,1,0,0,9,27,,,,0.0,0.6,0.36,1.07,3.21,0.0,0.0,0.0
700,a,,,4.4,576,326,0,0,-1,1,0.3,301,103,5,0,2.5,207,88,0,13,0.0,572,212,0.0,1.1,0,76109,1041,49934,2334,1.0,0.5,0.14,0.02,0.16,0.12,0.47,0.07,0.54,0.4,1.0,425,200,0.8,388,195,26.0,242,134,2.8,385,181,,,,10,,Max,Dowman,Dowman,,,27,0,1,0,0,0,0,0,0,0,0,0,3,,,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
725,a,100.0,100.0,5.4,183,24,0,0,-1,1,0.0,635,218,1,1,1.0,408,138,0,4,0.2,383,135,0.0,0.2,0,3934,171,3509,91,1.2,0.7,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.11,0.0,724,246,0.3,405,147,0.0,720,245,0.0,725,246,,,,10,,Piero,Hincapié,Hincapie,,2025-09-24T06:00:06.296709+00:00,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,a,100.0,100.0,5.0,246,9,0,0,0,0,2.0,128,17,25,8,3.6,108,10,1,118,3.5,94,8,0.7,5.0,1,185096,3579,151519,3448,2.5,3.0,0.0,0.03,0.03,7.61,0.0,0.0,0.0,1.09,129.8,120,16,3.0,372,9,0.0,685,77,13.2,255,15,,,,10,,Emiliano,Martínez Romero,Martinez,,2025-10-03T14:00:08.570704+00:00,630,0,0,2,5,0,0,0,1,0,15,7,0,,,,2.14,0.29,0.71,1.0,0.0,0.0,0.0,0.0
33,a,,,4.4,492,26,0,0,-1,1,0.5,233,32,7,0,3.5,115,11,0,22,0.0,520,72,0.0,1.6,0,75200,84,90007,1155,-1.0,-0.5,0.0,0.0,0.0,4.1,0.0,0.0,0.0,2.05,25.4,337,27,0.0,544,67,0.0,516,55,2.6,389,27,,,,10,,Marco,Bizot,M.Bizot,,,180,0,0,1,3,0,0,0,1,0,4,2,0,,,,2.0,0.5,1.5,1.0,0.0,0.0,0.0,0.0
573,a,,,4.5,412,83,0,0,0,0,1.8,139,54,28,6,3.5,116,48,0,91,2.3,148,54,0.5,6.2,0,245892,1187,201248,6045,1.8,2.3,0.18,0.19,0.37,7.4,0.03,0.03,0.06,1.15,68.6,224,88,52.3,173,42,28.0,237,65,14.8,231,78,,,,10,,Djed,Spence,Spence,,,578,0,0,4,4,0,0,0,2,0,0,7,27,,,,0.0,0.62,0.62,1.09,4.2,0.0,0.0,0.0
