id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
62,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,a,,,4.5,465,277,0.1,541,196,0.0,602,242,0,0,0,0,0,508,340,0.0,0.0,0.5,0.0,0.0,634,262,0.0,0.0,631,258,625,259,602,247,632,259,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Will,Dennis,Dennis,a,,,4.0,647,62,1.1,177,25,0.0,432,47,0,0,0,0,0,1369,3284,0.0,0.0,0.0,0.5,0.0,478,51,0.0,0.0,477,51,462,38,426,27,477,51,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4466.0,7935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Owen,Bevan,Bevan,a,,,3.9,728,232,0.2,393,146,0.0,386,143,0,-1,1,-1,1,557,593,0.0,0.0,0.0,0.5,0.0,434,159,0.0,0.0,433,162,414,158,378,148,433,161,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.0,1417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Carlos,Baleba,Baleba,a,,,4.8,380,237,2.5,116,41,1.0,258,122,2,0,0,-2,2,8144,14995,0.2,1.7,1.0,0.5,1.3,310,147,0.0,0.0,340,159,190,123,324,169,321,157,0.0,0.0,0.0,,,,,0.01,0.01,0.02,1.65,0.0,0.29,1.17,1.47,11.14,6,2.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,17021.0,49440.0,0.0,0.010000000000000002,0.01,0.020000000000000004,1.38,2.0,2.1999999999999993,2.0,0.5999999999999996,0.0,2.0,2.0,9.0
178,Danny,Welbeck,Welbeck,a,,,6.3,71,22,2.2,127,20,4.7,48,6,11,0,0,-2,2,50698,11310,0.7,2.7,4.7,4.2,2.8,179,18,0.0,0.0,149,13,215,17,38,17,110,18,0.0,1.0,1.0,,,,,0.8,0.11,0.91,1.7,0.0,0.0,2.29,0.98,3.27,6,11.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,49.0,57878.0,40828.0,1.0,0.75,0.0,0.75,0.4300000000000006,65.2,0.10000000000000142,54.0,11.9,0.0,2.0,0.0,2.0
218,Ashley,Barnes,Barnes,a,,,4.4,500,68,1.5,150,23,0.0,495,42,0,0,0,-1,1,4059,10189,0.0,0.0,-0.5,-1.0,0.0,534,48,0.0,0.0,533,48,520,47,488,46,534,48,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13014.0,26212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Antoni,Milambo,Milambo,a,,,5.3,225,140,0.0,587,228,0.0,699,303,0,0,0,-2,2,138,235,0.0,0.2,-0.5,0.0,1.0,378,184,0.0,0.0,381,182,361,187,704,309,398,192,0.0,0.0,0.0,,,,,0.0,0.02,0.02,2.98,0.0,0.0,6.0,2.0,8.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,Romain,Esse,Esse,a,,,4.8,385,241,0.2,391,130,0.0,639,265,0,0,0,-2,2,543,974,0.0,0.2,0.0,-1.0,1.0,357,170,0.0,0.0,377,180,383,195,342,177,392,188,0.0,0.0,0.0,,,,,0.0,0.04,0.04,1.01,0.0,0.0,0.0,0.0,7.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.0,2471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,Jefferson,Lerma Solís,Lerma,a,,,4.9,306,189,0.1,553,203,1.3,220,97,1,0,0,-1,1,174,288,0.3,1.4,1.3,0.3,1.2,319,153,0.0,0.0,305,138,245,141,129,79,259,126,0.0,0.0,0.0,,,,,0.27,0.02,0.29,1.17,0.0,0.53,0.53,0.53,11.58,6,1.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,346.0,859.0,0.0,0.050000000000000044,0.009999999999999998,0.06000000000000005,0.6399999999999999,2.1999999999999993,0.6000000000000014,3.0,0.6000000000000005,1.0,1.0,2.0,4.0
280,David,Ozoh,Ozoh,u,Has joined Derby County on loan for the rest of the season.,2025-07-30T14:07:45.618291+00:00,4.5,453,268,0.0,737,325,0.0,592,234,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,624,254,0.0,0.0,622,250,616,251,593,239,623,251,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Harry,Tyrer,Tyrer,a,,,4.0,648,63,0.1,454,71,0.0,433,48,0,0,0,0,0,114,323,0.0,0.0,0.0,0.0,0.0,479,52,0.0,0.0,478,52,463,39,427,28,478,52,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,Emile,Smith Rowe,Smith Rowe,a,,,5.8,113,77,0.6,225,77,1.0,277,134,1,0,0,-2,2,1099,4689,0.2,1.9,1.0,1.0,1.8,277,131,0.0,0.0,238,103,202,129,137,82,221,110,0.0,0.0,0.0,,,,,0.59,0.04,0.63,0.57,0.0,0.0,0.0,0.0,3.0,6,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3115.0,14475.0,0.0,0.0,0.009999999999999995,0.010000000000000009,0.0,1.3999999999999986,3.0,0.0,0.3999999999999986,0.0,0.0,0.0,1.0
42,Andrés,García,A.García,a,,2025-08-10T22:00:04.418109+00:00,3.9,740,243,0.3,331,119,0.0,398,154,0,0,0,-1,1,3708,1064,0.0,0.0,0.5,0.0,0.0,445,169,100.0,100.0,444,172,426,169,390,159,444,171,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6494.0,2364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Leander,Dendoncker,Dendoncker,u,Has joined Real Oviedo permanently.,2025-08-20T13:31:56.822248+00:00,4.5,397,242,0.1,446,146,0.0,560,209,0,0,0,0,0,0,700,0.0,0.0,0.0,0.0,0.0,594,230,0.0,0.0,592,226,583,227,556,214,593,227,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Darko,Churlinov,Churlinov,u,has joined Kocaelispor  permanently.,2025-09-02T12:51:25.524903+00:00,4.9,337,209,0.0,667,282,0.0,655,275,0,0,0,-1,1,0,37,0.0,0.0,0.0,0.0,0.0,676,287,0.0,0.0,677,287,673,288,656,281,678,288,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Aaron,Ramsey,A.Ramsey,u,has joined Leicester City on loan for the rest of the season.,2025-09-02T12:51:25.540742+00:00,4.4,541,302,3.2,104,36,0.0,517,183,0,0,0,-1,1,0,29489,0.0,0.0,0.0,0.0,0.0,552,204,0.0,0.0,550,200,539,201,510,188,551,201,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
