id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
203,a,,,4.9,367,230,0,0,-1,1,0.0,586,228,0,0,0.0,682,289,0,0,0.0,669,282,0.0,0.0,0,901,91,3363,261,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679,287,0.0,674,289,0.0,654,283,0.0,680,288,,,,6,,Enock,Agyei,Boateng,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
206,a,,,4.8,373,235,0,0,-2,2,0.1,541,195,1,0,1.0,345,160,0,3,0.0,637,262,0.0,0.2,0,2771,680,7185,761,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651,270,0.0,644,271,0.0,619,262,0.0,652,271,4.0,,,6,,Marcus,Edwards,Edwards,,,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
33,a,,,4.5,391,21,0,0,0,0,0.6,222,30,7,0,3.5,120,12,0,22,0.0,564,80,0.0,1.6,0,72225,845,72601,6699,0.0,0.5,0.0,0.0,0.0,4.1,0.0,0.0,0.0,2.05,25.4,267,24,0.0,566,66,0.0,537,59,2.6,348,24,,,,6,,Marco,Bizot,M.Bizot,,,180,0,0,1,3,0,0,0,1,0,4,2,0,,,,2.0,0.5,1.5,1.0,0.0
314,a,,,5.0,243,7,0,0,0,0,1.6,148,19,17,1,3.4,130,15,1,77,3.7,86,7,0.7,3.4,0,45299,4093,58956,7703,3.7,3.7,0.0,0.0,0.0,6.85,0.0,0.0,0.0,1.37,119.4,37,5,0.0,679,78,0.0,659,73,11.9,157,6,,,,6,,Bernd,Leno,Leno,,,450,0,0,1,5,0,0,0,1,0,15,5,0,,,,3.0,0.2,1.0,1.0,0.0
210,a,,,4.9,352,219,0,0,-1,1,0.0,610,247,10,2,2.0,239,108,0,31,2.7,142,56,0.6,2.0,0,1505,305,1659,276,1.7,2.2,0.29,0.15,0.44,3.56,0.14,0.07,0.21,1.69,13.2,319,149,26.2,176,115,28.0,153,91,6.8,252,127,,,,6,,Loum,Tchaouna,Tchaouna,,,190,0,1,1,2,0,0,0,1,0,0,2,11,,,,0.0,0.47,0.95,0.95,5.21
45,a,,,4.0,681,192,0,0,0,0,0.3,298,110,0,0,0.0,494,185,0,0,0.0,465,177,0.0,0.0,0,9533,1133,14802,1640,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488,188,0.0,471,186,0.0,434,170,0.0,490,188,,,,6,,Lino,da Cruz Sousa,Sousa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
27,a,,,4.9,321,200,0,0,-1,1,0.1,446,146,0,0,0.0,663,277,0,0,0.0,649,269,0.0,0.0,0,6070,506,9932,866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,274,0.0,652,275,0.0,630,269,0.0,660,275,,,,6,,Reiss,Nelson,Nelson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
60,a,,,4.5,485,284,0,0,0,0,0.3,297,98,0,0,0.0,639,262,0,0,0.0,619,248,0.0,0.0,0,17471,2695,20056,2538,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632,255,0.0,626,257,0.0,600,247,0.0,633,256,,,,6,,Ben,Broggio,Broggio,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
63,a,,,4.4,578,317,-1,1,-1,1,0.6,228,79,0,0,0.0,566,213,0,0,0.0,544,198,0.0,0.0,0,25312,4445,42299,4415,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560,206,0.0,546,208,0.0,516,197,0.0,562,207,,,,6,,Kadan,Young,Young,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
702,a,,,4.5,505,298,0,0,0,0,0.1,513,180,1,0,1.0,344,159,0,3,0.3,345,164,0.1,0.2,0,5923,419,3367,552,0.3,0.8,0.0,0.0,0.0,0.9,0.0,0.0,0.0,5.06,0.0,647,267,0.3,369,190,0.0,615,259,0.0,648,268,,,,6,,Bradley,Burrowes,Burrowes,,,16,0,0,0,1,0,0,0,0,0,0,0,1,,,,0.0,0.0,5.62,0.0,5.62
