id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
1,a,,,5.9,94,1.0,0,0.0,4,-4.0,32.2,9,2.0,52,6,4.8,39.0,2.0,3,212,4.3,73.0,6.0,0.7,9.0,0.0,2315073,41292,902071,46172,5.3,5.3,0.0,0.04,0.04,5.73,0.0,0.0,0.0,0.56,158.2,116.0,15.0,10.2,346.0,3.0,0.0,739.0,86.0,16.8,250.0,16.0,,,,10,,David,Raya Martín,Raya,,,900,0,0,7,3,0,0,0,1,0,16,10,86,,,,1.45,0.64,0.45,1.0,0.0,0,9,85
2,a,,,4.2,608,38.0,0,0.0,-3,3.0,0.4,246,34.0,0,0,0.0,559.0,75.0,0,0,0.0,487.0,68.0,0.0,0.0,0.0,8108,241,60815,1054,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,76.0,0.0,538.0,62.0,0.0,506.0,49.0,0.0,554.0,76.0,,,,10,,Kepa,Arrizabalaga Revuelta,Arrizabalaga,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
3,u,0.0,0.0,4.0,649,58.0,0,0.0,0,0.0,0.3,322,47.0,0,0,0.0,525.0,63.0,0,0,0.0,449.0,56.0,0.0,0.0,0.0,5545,0,40818,595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,64.0,0.0,503.0,50.0,0.0,470.0,37.0,0.0,519.0,64.0,,,,10,,Karl,Hein,Hein,Has joined Werder Bremen on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
4,a,,,4.0,671,66.0,0,0.0,0,0.0,0.2,360,54.0,0,0,0.0,541.0,71.0,0,0,0.0,467.0,64.0,0.0,0.0,0.0,15823,253,17126,539,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,72.0,0.0,519.0,58.0,0.0,487.0,45.0,0.0,535.0,72.0,,,,10,,Tommy,Setford,Setford,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
5,d,75.0,100.0,6.6,52,1.0,0,0.0,6,-6.0,41.9,4,1.0,80,12,7.4,2.0,1.0,13,273,7.3,6.0,2.0,1.1,12.3,0.0,3866099,91563,1118689,232249,6.2,8.3,0.82,0.66,1.48,5.73,0.07,0.06,0.13,0.56,297.2,8.0,3.0,47.2,175.0,43.0,84.0,113.0,16.0,42.8,54.0,10.0,,,,10,,Gabriel,dos Santos Magalhães,Gabriel,Thigh injury - 75% chance of playing,,900,1,2,7,3,0,0,0,1,0,0,10,109,,,,0.0,0.64,0.45,1.0,9.09,11,84,15
6,a,100.0,100.0,6.0,87,4.0,0,0.0,0,0.0,11.7,36,12.0,38,6,3.9,87.0,36.0,1,174,2.7,151.0,52.0,0.4,6.5,0.0,790591,31916,1312776,20499,3.7,3.7,0.13,0.2,0.33,4.21,0.04,0.03,0.07,0.58,152.4,105.0,47.0,29.6,250.0,75.0,10.0,296.0,92.0,19.2,212.0,67.0,,,,10,,William,Saliba,Saliba,,,634,0,0,5,1,0,0,0,0,0,0,8,77,,,,0.0,0.62,0.37,1.12,7.09,10,41,31
7,d,75.0,,5.8,111,8.0,0,0.0,3,-3.0,15.8,26,10.0,60,6,5.5,16.0,11.0,3,214,4.3,72.0,22.0,0.7,10.5,0.0,2133681,26794,731103,61454,4.0,5.3,2.01,0.2,2.21,4.36,0.24,0.03,0.27,0.5,138.6,131.0,57.0,81.5,125.0,26.0,146.0,34.0,2.0,36.5,73.0,17.0,,,,10,,Riccardo,Calafiori,Calafiori,Hip injury - 75% chance of playing,,766,1,2,7,3,0,0,0,3,0,0,10,78,,,,0.0,0.74,0.53,1.16,4.94,13,29,39
8,a,,,6.2,79,2.0,1,-1.0,7,-7.0,26.1,11,4.0,66,6,6.1,6.0,4.0,7,250,4.3,74.0,23.0,0.7,10.8,0.0,3224712,108066,646019,54615,5.3,5.3,2.08,0.61,2.69,4.63,0.21,0.07,0.28,0.52,225.0,42.0,17.0,172.8,44.0,8.0,208.0,25.0,1.0,60.8,22.0,1.0,,,,10,,Jurriën,Timber,J.Timber,,,791,2,2,6,3,0,0,0,2,0,0,9,84,,,,0.0,0.61,0.51,1.02,6.23,31,26,30
175,a,,,4.5,458,276.0,0,0.0,0,0.0,0.1,486,170.0,1,1,1.0,387.0,178.0,0,3,0.3,333.0,159.0,0.1,0.2,0.0,7419,243,9026,255,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,269.0,0.0,647.0,268.0,0.0,629.0,262.0,0.0,656.0,269.0,,,,10,,Joe,Knight,Knight,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
9,u,0.0,0.0,5.4,174,21.0,0,0.0,-1,1.0,0.1,563,202.0,0,0,0.0,731.0,249.0,0,0,0.0,710.0,245.0,0.0,0.0,0.0,1119,0,10525,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.0,249.0,0.0,730.0,249.0,0.0,725.0,247.0,0.0,731.0,249.0,,,,10,,Jakub,Kiwior,Kiwior,has joined Porto on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
10,a,,,5.1,234,35.0,-1,1.0,-4,4.0,1.6,143,55.0,6,1,0.9,434.0,145.0,0,19,0.7,298.0,98.0,0.1,1.2,0.0,52672,1514,359407,4798,1.7,1.7,0.0,0.0,0.0,0.99,0.0,0.0,0.0,1.04,9.8,391.0,144.0,7.2,361.0,124.0,4.0,364.0,132.0,2.0,403.0,141.0,,,,10,,Myles,Lewis-Skelly,Lewis-Skelly,,,86,0,0,0,0,0,0,0,1,0,0,0,12,,,,0.0,0.0,0.0,0.0,5.23,1,4,7
11,a,100.0,100.0,5.3,195,26.0,0,0.0,-2,2.0,0.4,264,99.0,6,0,6.0,7.0,5.0,0,23,0.0,701.0,242.0,0.0,1.1,0.0,32244,551,93524,1162,1.0,1.0,0.01,0.01,0.02,0.87,0.01,0.01,0.02,1.12,15.4,374.0,139.0,11.3,340.0,119.0,1.0,382.0,137.0,2.8,394.0,138.0,,,,10,,Benjamin,White,White,,,70,0,0,1,0,0,0,0,0,0,0,1,12,,,,0.0,1.29,0.0,1.29,10.29,2,6,4
13,a,,,3.8,750,247.0,-1,1.0,-2,2.0,0.4,247,90.0,0,0,0.0,450.0,159.0,0,0,0.0,368.0,126.0,0.0,0.0,0.0,28068,380,51107,1156,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,159.0,0.0,425.0,157.0,0.0,387.0,142.0,0.0,443.0,158.0,,,,10,,Brayden,Clarke,Clarke,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
14,u,0.0,0.0,3.9,741,238.0,0,0.0,-1,1.0,0.1,435,159.0,0,0,0.0,491.0,183.0,0,0,0.0,414.0,155.0,0.0,0.0,0.0,10218,0,19854,334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,184.0,0.0,467.0,182.0,0.0,434.0,172.0,0.0,485.0,183.0,,,,10,,Maldini,Kacurri,Kacurri,has joined Morecambe on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
15,a,,,3.9,723,223.0,0,0.0,-1,1.0,0.2,369,131.0,0,0,0.0,476.0,171.0,0,0,0.0,398.0,142.0,0.0,0.0,0.0,13204,76,18259,460,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,172.0,0.0,452.0,170.0,0.0,418.0,159.0,0.0,470.0,171.0,,,,10,,Josh,Nichols,Nichols,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
16,a,100.0,100.0,10.1,5,3.0,0,0.0,1,-1.0,17.5,21,8.0,33,3,5.0,35.0,10.0,2,112,6.0,28.0,15.0,0.6,4.5,0.0,2289623,80118,2014844,32854,7.0,7.0,1.89,2.07,3.96,3.99,0.32,0.3,0.62,0.59,144.6,81.0,28.0,220.6,17.0,17.0,183.0,18.0,11.0,54.8,16.0,11.0,1.0,4.0,1.0,10,,Bukayo,Saka,Saka,,,591,2,0,5,1,0,0,0,0,0,0,7,45,,,,0.0,0.66,0.4,1.06,7.53,10,2,33
17,d,50.0,0.0,7.8,19,13.0,0,0.0,-2,2.0,1.4,157,53.0,13,0,2.2,253.0,118.0,0,47,0.0,746.0,331.0,0.0,1.7,0.0,133307,145,413794,2500,0.5,0.0,0.14,0.81,0.95,2.36,0.06,0.36,0.42,1.06,43.0,310.0,141.0,65.0,171.0,116.0,22.0,280.0,152.0,13.0,284.0,141.0,3.0,2.0,3.0,10,,Martin,Ødegaard,Ødegaard,Knee injury - 50% chance of playing,,201,0,1,1,1,0,0,0,0,0,0,4,19,,,,0.0,0.45,0.45,1.79,8.51,3,6,10
18,d,50.0,0.0,6.8,44,28.0,0,0.0,-2,2.0,0.6,227,78.0,10,0,2.0,284.0,129.0,0,39,0.0,740.0,329.0,0.0,1.5,0.0,149035,68,226635,1212,0.5,0.0,0.29,0.86,1.15,2.04,0.09,0.25,0.34,0.6,30.2,335.0,152.0,111.7,94.0,71.0,105.0,87.0,51.0,24.6,190.0,102.0,,,,10,,Noni,Madueke,Madueke,Knee injury - 50% chance of playing,,304,0,0,2,2,0,0,0,0,0,0,4,14,,,,0.0,0.59,0.59,1.18,4.14,3,1,10
68,a,,,4.0,642,55.0,0,0.0,0,0.0,1.0,183,26.0,0,0,0.0,518.0,60.0,0,0,0.0,442.0,53.0,0.0,0.0,0.0,40748,509,51242,1204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,61.0,0.0,496.0,47.0,0.0,463.0,34.0,0.0,512.0,61.0,,,,10,,Will,Dennis,Dennis,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
62,a,,,4.5,456,275.0,0,0.0,0,0.0,0.1,533,192.0,0,0,0.0,659.0,271.0,0,0,0.0,607.0,242.0,0.0,0.0,0.0,5519,190,6182,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,268.0,0.0,645.0,267.0,0.0,627.0,261.0,0.0,654.0,268.0,,,,10,,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
103,a,,,4.0,664,64.0,0,0.0,0,0.0,0.1,414,63.0,0,0,0.0,536.0,69.0,0,0,0.0,461.0,62.0,0.0,0.0,0.0,4040,81,6844,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,70.0,0.0,514.0,56.0,0.0,481.0,43.0,0.0,530.0,70.0,,,,10,,Matthew,Cox,Cox,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
19,d,50.0,25.0,6.8,45,29.0,0,0.0,-2,2.0,0.8,194,67.0,16,0,2.0,285.0,130.0,1,56,0.3,363.0,177.0,0.0,2.4,0.0,91451,59,174692,5565,0.7,0.3,0.75,0.08,0.83,1.97,0.32,0.03,0.35,0.83,51.0,294.0,133.0,30.6,266.0,157.0,93.0,105.0,65.0,17.5,247.0,123.0,,,,10,,Gabriel,Martinelli Silva,Martinelli,Muscle injury - 50% chance of playing,,214,1,0,1,0,0,0,0,0,0,0,2,16,,,,0.0,0.42,0.0,0.84,6.73,3,3,10
20,a,100.0,100.0,6.9,37,22.0,0,0.0,-1,1.0,0.9,191,65.0,31,6,4.4,58.0,24.0,2,105,6.0,26.0,14.0,0.9,5.8,0.0,92877,24082,41244,3740,7.0,7.0,1.87,0.84,2.71,3.17,0.27,0.16,0.43,0.51,111.6,136.0,51.0,136.7,57.0,44.0,163.0,41.0,23.0,41.1,49.0,34.0,,,4.0,10,,Leandro,Trossard,Trossard,,,552,1,2,4,2,0,0,0,0,0,0,6,26,,,,0.0,0.56,0.56,0.98,4.35,4,6,16
21,a,100.0,100.0,6.9,38,23.0,1,-1.0,4,-4.0,20.9,18,5.0,63,13,5.9,9.0,3.0,10,238,7.3,7.0,4.0,1.1,9.4,0.0,2190071,159281,696734,38766,8.3,8.3,1.11,2.18,3.29,5.01,0.12,0.24,0.36,0.55,251.4,22.0,7.0,295.2,4.0,4.0,89.0,97.0,57.0,63.6,14.0,9.0,2.0,1.0,,10,,Declan,Rice,Rice,,,803,2,4,6,3,0,0,0,0,0,0,9,84,,,,0.0,0.6,0.5,1.01,9.57,14,27,43
22,a,,,5.9,98,65.0,0,0.0,-1,1.0,1.0,186,64.0,18,1,2.3,230.0,104.0,0,65,2.3,174.0,84.0,0.4,3.9,0.0,142191,6998,111404,5490,3.3,3.3,0.34,0.18,0.52,2.2,0.16,0.05,0.21,0.58,75.6,210.0,87.0,57.9,153.0,107.0,68.0,119.0,74.0,19.8,183.0,96.0,,,,10,,Mikel,Merino Zazón,Merino,,,323,1,0,2,1,0,0,0,0,0,0,3,37,,,,0.0,0.44,0.65,0.87,9.59,7,9,21
23,u,0.0,0.0,5.4,173,107.0,0,0.0,-1,1.0,0.0,654,271.0,0,0,0.0,730.0,319.0,0,0,0.0,709.0,307.0,0.0,0.0,0.0,933,0,4276,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,319.0,0.0,729.0,319.0,0.0,724.0,318.0,0.0,730.0,319.0,,,,10,,Fábio,Ferreira Vieira,Fábio Vieira,has joined Hamburger on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
24,a,100.0,100.0,5.2,214,133.0,0,0.0,-3,3.0,0.1,409,139.0,2,1,1.0,411.0,195.0,0,7,0.3,351.0,172.0,0.1,0.4,0.0,4240,203,55799,391,1.3,1.3,0.05,0.0,0.05,0.05,0.32,0.0,0.32,0.32,6.4,406.0,189.0,0.1,418.0,204.0,7.0,339.0,177.0,1.4,412.0,194.0,,,,10,,Christian,Nørgaard,Nørgaard,,,14,0,0,0,0,0,0,0,0,0,0,0,4,,,,0.0,0.0,0.0,0.0,25.71,0,2,2
25,a,,,5.1,235,146.0,-1,1.0,-4,4.0,0.1,406,137.0,7,1,1.4,342.0,161.0,0,17,0.3,349.0,170.0,0.1,1.4,0.0,10694,232,30477,590,1.3,1.3,0.23,0.08,0.31,0.73,0.13,0.04,0.17,0.4,8.4,399.0,187.0,22.4,294.0,168.0,24.0,271.0,148.0,5.4,360.0,173.0,4.0,3.0,,10,,Ethan,Nwaneri,Nwaneri,,,163,0,0,1,0,0,0,0,0,0,0,0,13,,,,0.0,0.55,0.0,0.0,7.18,2,1,10
