id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
1,David,Raya Martín,Raya,a,,,5.9,93,1.0,32.1,8,2.0,2.2,153.0,12.0,0,0,0.0,4,-4.0,6211,1845,0.4,9.3,3.2,3.2,4.6,43.0,3.0,,,128.0,16.0,350.0,3.0,742.0,87.0,260.0,16.0,,,,,,,,0.0,0.0,0.0,0.52,1.42,0.58,0.5,1.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15534,23146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.2,608,38.0,0.4,252,34.0,0.0,490.0,71.0,0,0,0.0,-3,3.0,14,48,0.0,0.0,1.0,1.0,0.0,562.0,77.0,,,557.0,77.0,545.0,65.0,513.0,51.0,557.0,77.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,Karl,Hein,Hein,u,Has joined Werder Bremen on loan for the rest of the season.,,4.0,650,57.0,0.3,328,47.0,0.0,451.0,59.0,0,0,0.0,0,0.0,0,30,0.0,0.0,0.0,0.0,0.0,528.0,65.0,0.0,0.0,522.0,65.0,510.0,53.0,477.0,39.0,522.0,65.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4,Tommy,Setford,Setford,a,,,4.0,672,65.0,0.2,361,54.0,0.0,470.0,67.0,0,0,0.0,0,0.0,20,39,0.0,0.0,1.0,1.0,0.0,544.0,73.0,,,538.0,73.0,526.0,61.0,494.0,47.0,538.0,73.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
6,William,Saliba,Saliba,a,,,6.0,88,5.0,12.9,33,11.0,2.2,156.0,50.0,0,0,0.0,0,0.0,4162,1040,0.4,6.8,3.2,3.2,3.7,100.0,37.0,100.0,100.0,109.0,48.0,259.0,79.0,301.0,94.0,214.0,72.0,,,,,,,,0.03,0.03,0.06,0.52,0.0,0.55,0.44,1.11,6.86,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17006,8154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
23,Fábio,Ferreira Vieira,Fábio Vieira,u,has joined Hamburger on loan for the rest of the season.,,5.4,170,107.0,0.0,655,271.0,0.0,715.0,311.0,0,0,0.0,-1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,733.0,321.0,0.0,0.0,733.0,321.0,732.0,321.0,728.0,320.0,733.0,321.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
24,Christian,Nørgaard,Nørgaard,a,,,5.2,213,133.0,0.1,413,139.0,0.2,352.0,173.0,0,0,0.0,-3,3.0,9,20,0.0,0.4,1.2,1.2,1.0,421.0,200.0,100.0,100.0,412.0,190.0,424.0,205.0,344.0,179.0,418.0,196.0,,,,,,,,0.32,0.0,0.32,0.32,0.0,0.0,0.0,0.0,25.71,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
33,Marco,Bizot,M.Bizot,a,,,4.3,559,29.0,0.5,245,33.0,0.0,495.0,73.0,0,0,0.0,-2,2.0,7,82,0.0,1.6,0.0,0.0,3.5,109.0,12.0,,,358.0,27.0,548.0,67.0,519.0,53.0,400.0,27.0,,,,,,,,0.0,0.0,0.0,2.05,2.0,0.5,1.5,1.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
34,Joe,Gauci,Gauci,u,Has joined Port Vale on loan for the rest of the season.,,4.0,649,56.0,0.1,437,68.0,0.0,450.0,58.0,0,0,0.0,0,0.0,0,13,0.0,0.0,0.0,0.0,0.0,527.0,64.0,0.0,0.0,521.0,64.0,509.0,52.0,476.0,38.0,521.0,64.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
39,Ian,Maatsen,Maatsen,a,,,4.2,612,156.0,0.4,253,93.0,0.5,287.0,95.0,0,0,0.0,-3,3.0,48,69,0.1,1.7,0.5,0.5,0.9,437.0,145.0,,,283.0,107.0,155.0,37.0,262.0,78.0,270.0,92.0,,,,,,,,0.11,0.09,0.2,1.72,0.0,0.0,1.68,0.42,9.25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
