player_id,gameweek,position,team_code,n_fixtures,points_roll3,minutes_roll3,xg_roll3,xa_roll3,defcon_roll3,team_elo,opp_elo,team_xg_for_roll5,team_xg_against_roll5,opp_xg_against_roll5,has_double_gw,gkp_saves_roll3,gkp_goals_prevented_roll3,def_clean_sheet_roll5,def_attacking_return_rate,mid_creativity_roll3,mid_threat_roll3,mid_shots_on_target_roll3,mid_touches_box_roll3,fwd_xg_roll3,fwd_shots_on_target_roll3,fwd_touches_box_roll3
1,7,GKP,3,1,3.33333,90,0,0.00666667,9.33333,2015.99,1727.58,1.628,0.474,1.56,False,1.66667,0.0333333,,,,,,,,,
2,7,GKP,3,1,0,0,,,0,2015.99,1727.58,1.628,0.474,1.56,False,0,,,,,,,,,,
3,7,GKP,3,1,0,0,,,0,2015.99,1727.58,1.628,0.474,1.56,False,0,,,,,,,,,,
4,7,GKP,3,1,0,0,,,0,2015.99,1727.58,1.628,0.474,1.56,False,0,,,,,,,,,,
5,7,DEF,3,1,8,90,0.14,0.0133333,14.3333,2015.99,1727.58,1.628,0.474,1.56,False,,,0.4,0.2,,,,,,,
6,7,DEF,3,1,1,45,0.05,0.045,6.33333,2015.99,1727.58,1.628,0.474,1.56,False,,,0.2,0,,,,,,,
7,7,DEF,3,1,2.66667,75.3333,0.0766667,0.0333333,7,2015.99,1727.58,1.628,0.474,1.56,False,,,0.4,0.4,,,,,,,
8,7,DEF,3,1,3.66667,86.3333,0.276667,0.123333,9.66667,2015.99,1727.58,1.628,0.474,1.56,False,,,0.4,0.6,,,,,,,
9,7,DEF,3,1,0,0,,,0,2015.99,1727.58,1.628,0.474,1.56,False,,,0,0,,,,,,,
10,7,DEF,3,1,0.666667,8,0,0,1,2015.99,1727.58,1.628,0.474,1.56,False,,,0,0,,,,,,,
11,7,DEF,3,1,0,0,,,0,2015.99,1727.58,1.628,0.474,1.56,False,,,0,0,,,,,,,
12,7,DEF,17,1,1.33333,60,0.02,0.085,7.33333,1766.48,1872.67,0.928,1.574,0.876,False,,,0,0,,,,,,,
13,7,DEF,3,1,0,0,,,0,2015.99,1727.58,1.628,0.474,1.56,False,,,0,0,,,,,,,
14,7,DEF,3,1,0,0,,,0,2015.99,1727.58,1.628,0.474,1.56,False,,,0,0,,,,,,,
15,7,DEF,3,1,0,0,,,0,2015.99,1727.58,1.628,0.474,1.56,False,,,0,0,,,,,,,
16,7,MID,3,1,1,38,0.06,0.11,2.66667,2015.99,1727.58,1.628,0.474,1.56,False,,,,,14.5667,12.3333,0.5,4,,,
17,7,MID,3,1,1.66667,8.33333,0,0.125,0.333333,2015.99,1727.58,1.628,0.474,1.56,False,,,,,7.2,0,0,0,,,
18,7,MID,3,1,1.33333,41,0.075,0.36,3,2015.99,1727.58,1.628,0.474,1.56,False,,,,,24.1667,18.3333,0.5,9.5,,,
19,7,MID,3,1,3,14,0.0833333,0.00333333,1.33333,2015.99,1727.58,1.628,0.474,1.56,False,,,,,1.7,7,0.333333,0.666667,,,
20,7,MID,3,1,2.66667,60.3333,0.143333,0.143333,2,2015.99,1727.58,1.628,0.474,1.56,False,,,,,10.6,11,0,3.66667,,,
21,7,MID,3,1,4.33333,67.3333,0,0.13,8,2015.99,1727.58,1.628,0.474,1.56,False,,,,,30.6667,2,0,1,,,
22,7,MID,3,1,3.33333,51.6667,0.06,0.0333333,6.66667,2015.99,1727.58,1.628,0.474,1.56,False,,,,,12.5667,17.3333,0.666667,1,,,
23,7,MID,3,1,0,0,,,0,2015.99,1727.58,1.628,0.474,1.56,False,,,,,0,0,,,,,
24,7,MID,3,1,0,0,,,0,2015.99,1727.58,1.628,0.474,1.56,False,,,,,0,0,,,,,
